id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
0,Non-temporal write,1,100000000,100,191,0,0,0,50,0,0,0,1,91
1,Non-temporal read,2,0,200,799,0,0,0,50,0,0,0,49,599
2,Non-temporal write,1,100000040,300,391,0,0,0,50,0,0,0,1,91
3,Non-temporal read,2,40,899,1476,0,0,0,50,0,0,0,27,577
4,Non-temporal write,1,100000080,999,1090,0,0,0,50,0,0,0,1,91
5,Non-temporal read,2,80,1576,2153,0,0,0,50,0,0,0,27,577
6,Non-temporal write,1,1000000c0,1676,1767,0,0,0,50,0,0,0,1,91
7,Non-temporal read,2,c0,2253,2830,0,0,0,50,0,0,0,27,577
8,Non-temporal write,1,100000100,2353,2444,0,0,0,50,0,0,0,1,91
9,Non-temporal read,2,100,2930,3507,0,0,0,50,0,0,0,27,577
10,Non-temporal write,1,100000140,3030,3121,0,0,0,50,0,0,0,1,91
11,Non-temporal read,2,140,3607,4184,0,0,0,50,0,0,0,27,577
12,Non-temporal write,1,100000180,3707,3798,0,0,0,50,0,0,0,1,91
13,Non-temporal read,2,180,4284,4861,0,0,0,50,0,0,0,27,577
14,Non-temporal write,1,1000001c0,4384,4475,0,0,0,50,0,0,0,1,91
15,Non-temporal read,2,1c0,4961,5538,0,0,0,50,0,0,0,27,577
16,Non-temporal write,1,100000200,5061,5152,0,0,0,50,0,0,0,1,91
17,Non-temporal read,2,200,5638,6215,0,0,0,50,0,0,0,27,577
18,Non-temporal write,1,100000240,5738,5829,0,0,0,50,0,0,0,1,91
19,Non-temporal read,2,240,6315,6914,0,0,0,50,0,0,0,49,599
20,Non-temporal write,1,100000280,6415,6506,0,0,0,50,0,0,0,1,91
21,Non-temporal read,2,280,7014,7591,0,0,0,50,0,0,0,27,577
22,Non-temporal write,1,1000002c0,7114,7205,0,0,0,50,0,0,0,1,91
23,Non-temporal read,2,2c0,7691,8268,0,0,0,50,0,0,0,27,577
24,Non-temporal write,1,100000300,7791,7882,0,0,0,50,0,0,0,1,91
25,Non-temporal read,2,300,8368,8945,0,0,0,50,0,0,0,27,577
26,Non-temporal write,1,100000340,8468,8559,0,0,0,50,0,0,0,1,91
27,Non-temporal read,2,340,9045,9622,0,0,0,50,0,0,0,27,577
28,Non-temporal write,1,100000380,9145,9236,0,0,0,50,0,0,0,1,91
29,Non-temporal read,2,380,9722,10299,0,0,0,50,0,0,0,27,577
30,Non-temporal write,1,1000003c0,9822,9913,0,0,0,50,0,0,0,1,91
31,Non-temporal read,2,3c0,10399,10976,0,0,0,50,0,0,0,27,577
32,Non-temporal write,1,100000400,10499,10590,0,0,0,50,0,0,0,1,91
33,Non-temporal read,2,400,11076,11653,0,0,0,50,0,0,0,27,577
34,Non-temporal write,1,100000440,11176,11267,0,0,0,50,0,0,0,1,91
35,Non-temporal read,2,440,11753,12330,0,0,0,50,0,0,0,27,577
36,Non-temporal write,1,100000480,11853,11944,0,0,0,50,0,0,0,1,91
37,Non-temporal read,2,480,12430,13007,0,0,0,50,0,0,0,27,577
38,Non-temporal write,1,1000004c0,12530,12621,0,0,0,50,0,0,0,1,91
39,Non-temporal read,2,4c0,13107,13684,0,0,0,50,0,0,0,27,577
40,Non-temporal write,1,100000500,13207,13298,0,0,0,50,0,0,0,1,91
41,Non-temporal read,2,500,13784,14361,0,0,0,50,0,0,0,27,577
42,Non-temporal write,1,100000540,13884,13975,0,0,0,50,0,0,0,1,91
43,Non-temporal read,2,540,14461,15038,0,0,0,50,0,0,0,27,577
44,Non-temporal write,1,100000580,14561,14652,0,0,0,50,0,0,0,1,91
45,Non-temporal read,2,580,15138,15715,0,0,0,50,0,0,0,27,577
46,Non-temporal write,1,1000005c0,15238,15329,0,0,0,50,0,0,0,1,91
47,Non-temporal read,2,5c0,15815,16392,0,0,0,50,0,0,0,27,577
48,Non-temporal write,1,100000600,15915,16006,0,0,0,50,0,0,0,1,91
49,Non-temporal read,2,600,16492,17069,0,0,0,50,0,0,0,27,577
50,Non-temporal write,1,100000640,16592,16683,0,0,0,50,0,0,0,1,91
51,Non-temporal read,2,640,17169,17746,0,0,0,50,0,0,0,27,577
52,Non-temporal write,1,100000680,17269,17360,0,0,0,50,0,0,0,1,91
53,Non-temporal read,2,680,17846,18423,0,0,0,50,0,0,0,27,577
