id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
0,Non-temporal write,1,100000000,0,91,0,0,0,50,0,0,0,1,91
1,Non-temporal read,2,0,0,599,0,0,0,50,0,0,0,49,599
2,Non-temporal write,1,100000040,91,182,0,0,0,50,0,0,0,1,91
3,Non-temporal read,2,40,599,1176,0,0,0,50,0,0,0,27,577
4,Non-temporal write,1,100000080,599,690,0,0,0,50,0,0,0,1,91
5,Non-temporal read,2,80,1176,1753,0,0,0,50,0,0,0,27,577
6,Non-temporal write,1,1000000c0,1176,1267,0,0,0,50,0,0,0,1,91
7,Non-temporal read,2,c0,1753,2330,0,0,0,50,0,0,0,27,577
8,Non-temporal write,1,100000100,1753,1844,0,0,0,50,0,0,0,1,91
9,Non-temporal read,2,100,2330,2907,0,0,0,50,0,0,0,27,577
10,Non-temporal write,1,100000140,2330,2421,0,0,0,50,0,0,0,1,91
11,Non-temporal read,2,140,2907,3484,0,0,0,50,0,0,0,27,577
12,Non-temporal write,1,100000180,2907,2998,0,0,0,50,0,0,0,1,91
13,Non-temporal read,2,180,3484,4061,0,0,0,50,0,0,0,27,577
14,Non-temporal write,1,1000001c0,3484,3575,0,0,0,50,0,0,0,1,91
15,Non-temporal read,2,1c0,4061,4638,0,0,0,50,0,0,0,27,577
16,Non-temporal write,1,100000200,4061,4152,0,0,0,50,0,0,0,1,91
17,Non-temporal read,2,200,4638,5215,0,0,0,50,0,0,0,27,577
18,Non-temporal write,1,100000240,4638,4729,0,0,0,50,0,0,0,1,91
19,Non-temporal read,2,240,5215,5792,0,0,0,50,0,0,0,27,577
20,Non-temporal write,1,100000280,5215,5306,0,0,0,50,0,0,0,1,91
21,Non-temporal read,2,280,5792,6895,0,0,0,50,0,0,0,553,1103
22,Non-temporal write,1,1000002c0,5792,5883,0,0,0,50,0,0,0,1,91
23,Non-temporal read,2,2c0,6895,7472,0,0,0,50,0,0,0,27,577
24,Non-temporal write,1,100000300,6895,6986,0,0,0,50,0,0,0,1,91
25,Non-temporal read,2,300,7472,8049,0,0,0,50,0,0,0,27,577
26,Non-temporal write,1,100000340,7472,7563,0,0,0,50,0,0,0,1,91
27,Non-temporal read,2,340,8049,8626,0,0,0,50,0,0,0,27,577
28,Non-temporal write,1,100000380,8049,8140,0,0,0,50,0,0,0,1,91
29,Non-temporal read,2,380,8626,9203,0,0,0,50,0,0,0,27,577
30,Non-temporal write,1,1000003c0,8626,8717,0,0,0,50,0,0,0,1,91
31,Non-temporal read,2,3c0,9203,9780,0,0,0,50,0,0,0,27,577
32,Non-temporal write,1,100000400,9203,9294,0,0,0,50,0,0,0,1,91
33,Non-temporal read,2,400,9780,10357,0,0,0,50,0,0,0,27,577
34,Non-temporal write,1,100000440,9780,9871,0,0,0,50,0,0,0,1,91
35,Non-temporal read,2,440,10357,10934,0,0,0,50,0,0,0,27,577
36,Non-temporal write,1,100000480,10357,10448,0,0,0,50,0,0,0,1,91
37,Non-temporal read,2,480,10934,11511,0,0,0,50,0,0,0,27,577
38,Non-temporal write,1,1000004c0,10934,11025,0,0,0,50,0,0,0,1,91
39,Non-temporal read,2,4c0,11511,12088,0,0,0,50,0,0,0,27,577
40,Non-temporal write,1,100000500,11511,11602,0,0,0,50,0,0,0,1,91
